id,recipe,category,prep_time_in_minutes,prep_time_note,cook_time_in_minutes,cook_time_note,difficulty,serving,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,directions_step_1,directions_step_2,directions_step_3,directions_step_4,directions_step_5,directions_step_6,directions_step_7,directions_step_8,directions_step_9,directions_step_10,image,image_attribution_name,image_attribution_url,image_creative_commons,chef,source_url,calories,fat_in_grams,carbohydrates_in_grams,protein_in_grams
15,Coconut And Hazelnut Chilled Glass,"{'id': 1, 'category': 'Breakfast Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Breakfast_Recipes-Breakfast.png'}",10,,0.0,,Easy,1.0,0.5,0.25,1.5,1.0,,,,,,,cup coconut milk,"cup hazelnuts, chopped",cups water,pack stevia,,,,,,,Add listed ingredients to blender,Blend until you have a smooth and creamy texture,Serve chilled and enjoy!,,,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Coconut_And_Hazelnut_Chilled_Glass-Coconut_And_Hazelnut_Chilled_Glass.jpg,,,True,,,457,46.0,12.0,7.0
16,Delicious Nut Dredged Porridge,"{'id': 1, 'category': 'Breakfast Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Breakfast_Recipes-Breakfast.png'}",10,,15.0,,Easy,4.0,1.0,1.0,2.0,4.0,2.0,,,,,,"cup cashew nuts, raw and unsalted","cup pecan, halved",tablespoons stevia,"teaspoons coconut oil, melted",cups water,,,,,,Chop the nuts in food processor and form a smooth paste,"Add water, oil, stevia to nuts paste and transfer the mix to a saucepan",Stir cook for 5 minutes on high heat,Lower heat to low and simmer for 10 minutes,Serve warm and enjoy!,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Delicious_Nut_Dredged_Porridge-Delicious_Nut_Dredged_Porridge.jpg,,,True,,,260,22.0,12.0,6.0
17,Crispy Tofu,"{'id': 1, 'category': 'Breakfast Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Breakfast_Recipes-Breakfast.png'}",5,,30.0,,Medium,8.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,0.25,,,"pound extra firm tofu, drained and sliced",tablespoons olive oil,cup almond meal,tablespoons yeast,teaspoon onion powder,teaspoon garlic powder,teaspoon oregano,teaspoon salt,,,Add all ingredients except tofu and olive oil in a shallow bowl,Mix well,Pre-heat your oven to 400 degree F,"In the wide bowl, add almond meal and mix well",Brush tofu with olive oil dip into the mix and coat well,Line a baking sheet with parchment paper,Transfer coated tofu to the baking sheet,"Bake for 20-30 minutes, making sure to flip once until golden brown",Serve and enjoy!,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Crispy_Tofu-Crispy_Tofu.jpg,,,True,,,282,20.0,9.0,12.0
27,Pecan And Goat Cheese,"{'id': 1, 'category': 'Breakfast Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Breakfast_Recipes-Breakfast.png'}",10,,10.0,,Medium,4.0,1.0,0.33,3.0,2.0,1.0,,,,,,lb log goat cheese,"cup pecans, chopped",tablespoons bacon syrup,"teaspoons fresh basil, chopped","teaspoon fresh chives, chopped",,,,,,"In a small saucepan, add the chopped basil, bacon, and chives. Cook for 1-2 minutes and set aside.",Finely chop the pecans and transfer them to a large plate. Then roll the goat cheese in the chopped pecans.,Drizzle with the bacon mixture and serve. Enjoy,,,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Pecan_And_Goat_Cheese-Pecan_And_Goat_Cheese.jpg,,,True,,,296,8.0,0.6,14.0
28,Broccoli Egg Salad,"{'id': 1, 'category': 'Breakfast Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Breakfast_Recipes-Breakfast.png'}",4,,0.0,,Medium,4.0,1.0,4.0,2.0,1.0,1.0,,,,,,"pound broccoli florets, steamed","eggs, hard-boiled, peeled, and cut into wedges","spring onions, chopped'/2 teaspoon chili powder",tablespoon olive oil,tablespoon lime juice,Salt and black pepper to the taste,,,,,"In a bowl, combine the broccoli with the eggs and the other ingredients, toss and serve for breakfast.",,,,,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Broccoli_Egg_Salad-Broccoli_Egg_Salad.jpg,,,True,,,250,11.0,5.6,6.0
30,Excellent Zucchini Sage Cakes,"{'id': 1, 'category': 'Breakfast Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Breakfast_Recipes-Breakfast.png'}",10,,12.0,,Medium,4.0,1.0,,1.0,1.0,1.0,,,,,,"pound zucchinis, grated, and excess water drained",Salt and black pepper to the taste,tablespoon almond flour,"egg, whisked","tablespoon sage, chopped2 tablespoons olive oil",,,,,,"In a bowl, combine the zucchinis with the flour and the other ingredients except for the oil, stir well and shape medium cakes out of this mix.","Heat up a pan with the oil over medium heat, add the cakes, cook them for 5-6 minutes on each side, drain excess grease on paper towels",Divide the cakes between plates and serve for breakfast,,,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Excellent_Zucchini_Sage_Cakes-Excellent_Zucchini_Sage_Cakes.jpg,,,True,,,320,13.0,10.0,12.0
33,Creamy Cheese Muffins,"{'id': 1, 'category': 'Breakfast Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Breakfast_Recipes-Breakfast.png'}",10,,30.0,,Medium,4.0,2.0,0.5,2.0,0.5,1.0,,,,,,8-ounces packages of cream cheese,cup Erythritol,organic eggs,teaspoon organic vanilla extract,teaspoon ground cinnamon,,,,,,Preheat the oven to 350 degrees F. Grease 10 cups of a muffin tin.,"In a bowl, add the cream cheese, Erythritol, eggs, and vanilla extract and beat until smooth.",Transfer mixture evenly into the prepared muffin cups and then sprinkle each with cinnamon.,Bake for about 20 minutes or until a wooden skewer inserted in the center comes out clean.,Remove the muffin tin from the oven and place it onto a wire rack to cool for about 10 minutes.,Carefully invert the muffins onto a wire rack to cool completely.,Serve,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Creamy_Cheese_Muffins-Creamy_Cheese_Muffins.jpg,,,True,,,344,33.0,2.8,9.1
34,Cheese And Bacon Balls,"{'id': 1, 'category': 'Breakfast Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Breakfast_Recipes-Breakfast.png'}",10,+ chill time,5.0,,Medium,4.0,3.0,6.0,1.0,0.25,0.5,,,,,,ounces bacon,ounces brie cheese,"chili pepper, seeded and chopped",tsp parsley flakes,tsp paprika,,,,,,Set a pan over medium heat and fry the bacon until crispy; then crush it.,Place the other ingredients in a bowl and mix to combine with the bacon grease.,Refrigerate the mixture for 20 minutes.,Remove and form balls from the mixture. Set the bacon on a plate and roll the balls around to coat,Serve and enjoy!,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Cheese_And_Bacon_Balls-Cheese_And_Bacon_Balls.jpg,,,True,,,206,16.0,0.6,13.0
37,Simple Fried Eggs,"{'id': 1, 'category': 'Breakfast Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Breakfast_Recipes-Breakfast.png'}",10,,10.0,,Medium,4.0,2.0,2.0,0.25,0.12,,,,,,,eggs,tbsp unsalted butter,tsp salt,tsp ground black pepper,,,,,,,"Take a skillet pan, place it over medium heat, add butter and when it has melted, crack eggs in the pan.","Cook eggs for 3 to 5 minutes until fried to the desired level, then transfer the eggs to serving plates and sprinkle with salt and black pepper.",Serve.,,,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Simple_Fried_Eggs-Simple_Fried_Eggs.jpg,,,True,,,179,16.0,0.5,8.0
39,Spicy Chili Deviled Eggs,"{'id': 1, 'category': 'Breakfast Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Breakfast_Recipes-Breakfast.png'}",10,,50.0,,Easy,4.0,0.25,2.0,2.0,0.5,0.12,,,,,,"of lime, juiced","eggs, boiled",tsp chili garlic sauce,tsp paprika,tsp ground black pepper,,,,,,"Peel the boiled eggs, then slice in half lengthwise and transfer egg yolks to a medium bowl by using a spoon.","Mash the egg yolk, add remaining ingredients and stir until well combined.",Spoon the egg yolk mixture into egg whites and then serve.,,,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Spicy_Chili_Deviled_Eggs-Spicy_Chili_Deviled_Eggs.jpg,,,True,,,82,5.0,0.4,7.0
40,Classic Egg Porridge,"{'id': 1, 'category': 'Breakfast Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Breakfast_Recipes-Breakfast.png'}",10,,15.0,,Medium,4.0,2.0,0.33,2.0,2.0,,,,,,,organic free-range eggs,cup organic heavy cream without food additives,packages of your preferred sweetener,tbsp grass-fed butter ground organic cinnamon to taste,,,,,,,"In a bowl, add the eggs, cream, and sweetener, and mix together.",Melt the butter in a saucepan over medium heat. Lower the heat once the butter is melted.,Combine together with the egg and cream mixture.,"While Cooking, mix until it thickens and curdles.","When you see the first signs of curdling, remove the saucepan immediately from the heat.",Pour the porridge into a bowl. Sprinkle cinnamon on top and serve immediately.,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Classic_Egg_Porridge-Classic_Egg_Porridge.jpg,,,True,,,604,45.0,2.0,8.0
41,Juicy Spanish Omelet,"{'id': 1, 'category': 'Breakfast Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Breakfast_Recipes-Breakfast.png'}",10,,10.0,,Easy,4.0,3.0,,0.5,,,,,,,,eggs,Cayenne or black pepper,cup finely chopped vegetables of your choosing.,,,,,,,,"In a pan on high heat, stir-fry the vegetables in extra virgin olive oil until lightly crispy.",Cook the eggs with one tablespoon of water and a pinch of pepper.,"When almost cooked, top with the vegetables and flip to cook briefly.",Serve,,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Juicy_Spanish_Omelet-Juicy_Spanish_Omelet.jpg,,,True,,,160,15.0,4.0,7.0
42,Delicious Breakfast Sausage Casserole,"{'id': 1, 'category': 'Breakfast Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Breakfast_Recipes-Breakfast.png'}",10,,45.0,,Easy,4.0,8.0,1.0,1.0,2.0,1.0,,,,,,"eggs, beaten",head chopped cauliflower,"lb sausage, cooked and crumbled",cups heavy whipping cream,"cup sharp cheddar cheese, grated",,,,,,Cook the sausage as usual.,"In a large bowl, mix the sausage, heavy whipping cream, chopped cauliflower, cheese, and eggs.",Pour into a greased casserole dish.,"Cook for 45 minutes at 350°F/175°C, or until firm.",Top with cheese and serve.,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Delicious_Breakfast_Sausage_Casserole-Delicious_Breakfast_Sausage_Casserole.jpg,,,True,,,290,25.0,1.0,12.0
43,Excellent Scrambled Mug Eggs,"{'id': 1, 'category': 'Breakfast Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Breakfast_Recipes-Breakfast.png'}",10,,5.0,,Easy,4.0,1.0,2.0,,,,,,,,,mug,eggs,Salt and pepper,Shredded cheese,Your favorite buffalo wing sauce,,,,,,Crack the eggs into a mug and whisk until blended.,"Put the mug into your microwave and cook for 1.5 - 2 minutes, depending on the power of your microwave.",Leave for a few minutes and remove from the microwave.,Sprinkle with salt and pepper. Add your desired amount of cheese on top.,"Using a fork, mix everything together.",Then add your favorite buffalo or hot sauce and mix again.,Serve!,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Excellent_Scrambled_Mug_Eggs-Excellent_Scrambled_Mug_Eggs.jpg,,,True,,,330,30.0,2.0,12.0
47,Toasty Cauliflower And Avocado,"{'id': 1, 'category': 'Breakfast Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Breakfast_Recipes-Breakfast.png'}",10,,10.0,,Medium,4.0,1.0,1.0,1.0,0.75,,,,,,,large egg,grated cauliflower head,chopped avocado,cup shredded mozzarella cheese,Salt &Black pepper,,,,,,"Set the oven to preheat at 420 F, then line the baking tray with a parchment paper",Cook the cauliflower in the microwave on high for 7 minutes,"Allow the cauliflower to cool, then drain on a paper towel.","Remove the excess moisture by pressing with a clean kitchen towel, then put them in a bowl.","Add the egg and mozzarella, then stir","Add the seasonings and mix evenly, then shape the mixture into medium squares",Arrange the squares on the prepared baking tray.,"Allow baking until browned evenly, for about 20 minutes","In the meantime, puree the avocado with black pepper and salt.",Top with the pureed avocado and Serve!,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Toasty_Cauliflower_And_Avocado-Toasty_Cauliflower_And_Avocado.jpg,,,True,,,126,7.0,10.0,10.0
52,Crispy Walnut Crumbles,"{'id': 2, 'category': 'Appetizer and Snacks Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Appetizer_and_Snacks_Recipes-Appetizer_and_Snacks.png'}",10,,8.0,,Medium,10.0,6.0,2.0,1.0,0.5,,,,,,,"ounces parmesan cheese, grated","tablespoons walnuts, chopped",tablespoons unsalted butter,tablespoon fresh thyme chopped,,,,,,,Pre-heat your oven to 350 degree F,Take two large rimmed baking sheets and line with parchment,"Add cheese, butter to food processor and blend",Add walnuts to the mix and pulse,Take a tablespoon and scoop mix onto baking sheet,Top with chopped thymes,"Bake for 8 minutes, transfer to cooling rack",Let it cool for 30 minutes,Serve and enjoy!,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Crispy_Walnut_Crumbles-Crispy_Walnut_Crumbles.jpg,,,True,,,80,3.0,7.0,7.0
53,Keto Kohlslaw,"{'id': 2, 'category': 'Appetizer and Snacks Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Appetizer_and_Snacks_Recipes-Appetizer_and_Snacks.png'}",10,,0.0,,Easy,4.0,1.0,,1.0,,,,,,,,"pound kohlrabi, peeled and shredded",Fresh parsley,cup mayonnaise (Keto-Friendly),"Salt, to taste","Ground black pepper, to taste",,,,,,Take a bowl and all the remaining ingredients,Mix it well until well combined,Adjust seasoning with salt and pepper,Serve and enjoy!,,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Keto_Kohlslaw-Keto_Kohlslaw.jpg,,,True,,,392,40.4,7.2,6.2
56,Juicy Salmon Fat Bombs,"{'id': 2, 'category': 'Appetizer and Snacks Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Appetizer_and_Snacks_Recipes-Appetizer_and_Snacks.png'}",5,,10.0,,Medium,12.0,0.5,2.0,0.5,2.0,,,,,,,"cup goat cheese, at room temperature","teaspoons lemon juice, fresh","cup butter, at room temperature",ounces smoked salmon,Black pepper to taste,,,,,,Place a parchment paper over baking sheet,"Take a medium bowl and stir in goat cheese, smoked salmon, pepper, lemon juice together",Scoop it out into 12 mounds,Chill for 2-3 hours,Serve when needed and enjoy!,,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Juicy_Salmon_Fat_Bombs-Juicy_Salmon_Fat_Bombs.jpg,,,True,,,145,18.0,0.0,8.0
58,Crunchy Garlic Bread Stick,"{'id': 2, 'category': 'Appetizer and Snacks Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Appetizer_and_Snacks_Recipes-Appetizer_and_Snacks.png'}",15,,15.0,,Medium,8.0,0.25,1.0,2.0,0.5,1.0,0.25,3.0,1.0,0.25,,"cup butter, softened",teaspoon garlic powder,cups almond flour,tablespoon baking powder,tablespoon Psyllium husk powder,teaspoon salt,"tablespoons butter, melted",egg,cup boiling water,,Pre-heat your oven to 400-degree F,Line baking sheet with parchment paper and keep it on the side,Beat butter with garlic powder and keep it on the side,"Add almond flour, baking powder, husk, salt in a bowl and mix in butter and egg, mix well",Pour boiling water in the mix and stir until you have a nice dough,Divide the dough into 8 balls and roll into breadsticks,Place on baking sheet and bake for 15 minutes,Brush each stick with garlic butter and bake for 5 minutes more,Serve and enjoy!,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Crunchy_Garlic_Bread_Stick-Crunchy_Garlic_Bread_Stick.png,,,True,,,259,24.0,5.0,7.0
59,Magnificent Camembert Mushrooms,"{'id': 2, 'category': 'Appetizer and Snacks Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Appetizer_and_Snacks_Recipes-Appetizer_and_Snacks.png'}",5,,13.0,,Medium,4.0,2.0,4.0,2.0,1.0,,,,,,,tablespoons butter,"ounces Camembert cheese, diced","teaspoons garlic, minced","pound button mushrooms, halved",Black pepper to taste,,,,,,Place a skillet over medium high heat,Add butter and let it melt,"Once the butter has melted, add garlic and Saute until translucent, should take 3 minutes",Add mushrooms and cook for 10 minutes,Season with pepper and serve,Enjoy!,,,,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Magnificent_Camembert_Mushrooms-Magnificent_Camembert_Mushrooms.jpg,,,True,,,161,13.0,3.0,9.0
60,Golden Eggplant Fries,"{'id': 2, 'category': 'Appetizer and Snacks Recipes', 'thumbnail': 'https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Appetizer_and_Snacks_Recipes-Appetizer_and_Snacks.png'}",10,,15.0,,Easy,8.0,2.0,2.0,2.0,2.0,,,,,,,eggs,cups almond flour,"tablespoons coconut oil, spray","eggplant, peeled and cut thinly",Salt and pepper,,,,,,Preheat your oven to 400 degree Fahrenheit,Take a bowl and mix with salt and black pepper in it,Take another bowl and beat eggs until frothy,Dip the eggplant pieces into eggs,Then coat them with flour mixture,Add another layer of flour and egg,"Then, take a baking sheet and grease with coconut oil on top",Bake for about 15 minutes,Serve and enjoy!,,https://s3.us-west-004.backblazeb2.com/EncurateAAM/media/keto/1/Golden_Eggplant_Fries-Golden_Eggplant_Fries.jpg,,,True,,,212,15.8,12.1,8.6
